seq_ID	ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
PB.20.2	PB.20.2_ORF_1	1219	+	3	492	920	429	1.1492	0.386528401360175	0.961257068660169
PB.21.1	PB.21.1_ORF_1	2014	+	3	324	1754	1431	1.2895	0.658495864934826	0.999999932551756
PB.21.2	PB.21.2_ORF_1	2096	+	1	43	1845	1803	1.2895	0.654484334431361	0.999999998918518
PB.22.1	PB.22.1_ORF_1	1979	+	3	387	1031	645	1.3421	0.662285078871588	0.999638366114506
PB.22.2	PB.22.2_ORF_2	2152	+	2	377	1021	645	1.3421	0.662285078871588	0.999634920660528
PB.22.3	PB.22.3_ORF_2	1952	+	1	367	822	456	1.3169	0.706995963121723	0.997517365262347
PB.22.4	PB.22.4_ORF_2	1586	+	2	53	454	402	1.3169	0.707080839495783	0.995558848011019
PB.23.1	PB.23.1_ORF_4	991	+	1	397	525	129	1.1517	0.149842691974683	0.173617117188784
PB.23.3	PB.23.3_ORF_1	1444	+	1	172	513	342	0.9446	0.163117685085187	0.541059283619939
PB.23.2	PB.23.2_ORF_1	1872	+	2	164	1009	846	0.9407	0.505725679093737	0.999608602285696
PB.23.4	PB.23.4_ORF_1	1636	+	3	366	707	342	0.9446	0.163117685085187	0.538444024093014
PB.24.1	PB.24.1_ORF_1	1099	+	2	434	1033	600	1.1134	0.397720963717061	0.993790836824431
PB.24.5	PB.24.5_ORF_1	662	+	2	185	598	414	1.182	0.492984772677507	0.978815868154468
PB.24.4	PB.24.4_ORF_1	801	+	3	138	737	600	1.1134	0.397720963717061	0.993890853658853
PB.24.3	PB.24.3_ORF_1	884	+	2	221	820	600	1.1134	0.397720963717061	0.993863158606425
PB.24.2	PB.24.2_ORF_1	752	+	2	89	688	600	1.1134	0.397720963717061	0.993907145400072
PB.25.1	PB.25.1_ORF_2	171	+	1	76	147	72	0.7716	-0.265703423586727	0.00251023058769009
PB.26.1	PB.26.1_ORF_1	1203	+	2	29	709	681	1.1507	0.340902401148411	0.996858160166573
PB.27.1	PB.27.1_ORF_1	1739	+	1	31	444	414	0.7056	0.0093687438381726	0.309403550286311
PB.28.1	PB.28.1_ORF_1	327	+	1	253	327	75	0.9152	0.0502910149120176	0.0279958846332557
PB.28.2	PB.28.2_ORF_1	691	+	2	71	520	450	1.0541	0.33201899743207	0.943565476055369
PB.28.3	PB.28.3_ORF_1	577	+	3	84	533	450	1.0541	0.33201899743207	0.943897405858105
PB.29.1	PB.29.1_ORF_1	1609	+	2	272	796	525	1.0288	0.224640032233043	0.946166220705701
PB.29.2	PB.29.2_ORF_1	269	+	3	99	182	84	0.7182	-0.0270601940808562	0.0100317992743181
PB.29.3	PB.29.3_ORF_1	1208	+	3	135	398	264	1.2046	0.0370079569195742	0.362597909271231
PB.30.1	PB.30.1_ORF_1	813	+	1	490	675	186	0.9724	0.058836515332421	0.110753402487534
PB.30.2	PB.30.2_ORF_1	301	+	3	183	293	111	0.5355	-0.316022861364118	0.00126060828119466
PB.31.1	PB.31.1_ORF_2	969	+	2	596	700	105	1.1277	-0.0973775928931247	0.0319707754320136
PB.32.1	PB.32.1_ORF_1	311	+	3	93	197	105	1.2316	0.414096768499824	0.521877869710995
PB.33.1	PB.33.1_ORF_2	805	+	2	5	193	189	1.1418	0.575154122746101	0.841314577344702
PB.34.1	PB.34.1_ORF_2	349	+	2	86	154	69	0.9749	-0.0393639229393523	0.0188189884702647
PB.34.4	PB.34.4_ORF_3	514	+	3	39	122	84	1.2793	0.820853694026295	0.922315798181387
PB.34.3	PB.34.3_ORF_3	630	+	2	155	238	84	1.2793	0.820853694026295	0.921858851659169
PB.34.2	PB.34.2_ORF_1	1044	+	2	68	652	585	1.2916	0.47999799198657	0.997586508561359
PB.35.1	PB.35.1_ORF_6	2025	+	3	351	422	72	1.0588	-0.0346050911785806	0.024265642358534
PB.36.1	PB.36.1_ORF_1	655	+	3	291	581	291	1.0627	0.655540188266274	0.954023479895588
PB.37.2	PB.37.2_ORF_1	996	+	1	94	462	369	1.1295	0.575290012425948	0.974163735810255
PB.37.1	PB.37.1_ORF_1	1399	+	2	2	865	864	1.3051	0.615947742659811	0.99995449838448
PB.38.2	PB.38.2_ORF_1	645	+	3	63	644	582	0.8297	0.441605812812535	0.985040802217825
PB.38.1	PB.38.1_ORF_1	867	+	3	114	866	753	0.9773	0.437367256998013	0.99860209555889
PB.39.1	PB.39.1_ORF_1	1195	+	1	646	825	180	0.7429	-0.0118192426674911	0.0325771378075483
PB.40.1	PB.40.1_ORF_1	648	+	3	99	278	180	0.7429	-0.0118192426674911	0.0335357512710426
PB.41.1	PB.41.1_ORF_1	1739	+	2	1310	1711	402	0.5048	-0.0948819558038746	0.0943213762903997
PB.41.2	PB.41.2_ORF_1	636	+	1	211	612	402	0.5048	-0.0948819558038746	0.0996160689677835
PB.42.1	PB.42.1_ORF_1	1894	+	2	65	1423	1359	1.3245	0.660768979939599	0.999999868913342
PB.42.2	PB.42.2_ORF_2	891	+	3	117	416	300	1.3038	0.512088171730338	0.956098555286551
PB.42.3	PB.42.3_ORF_1	495	+	2	134	457	324	1.1202	0.216684011630897	0.720237550718668
PB.43.1	PB.43.1_ORF_1	1992	+	1	541	1608	1068	1.3108	0.539408239340896	0.999992515752986
PB.43.2	PB.43.2_ORF_1	2029	+	2	419	1648	1230	1.3191	0.53793515463793	0.999998799501442
PB.43.3	PB.43.3_ORF_1	899	+	3	57	515	459	1.3206	0.524434824744847	0.993254914088181
PB.44.1	PB.44.1_ORF_1	1522	+	2	14	526	513	0.9905	0.253172602434762	0.941483638743612
PB.43.4	PB.43.4_ORF_1	589	+	2	272	556	285	0.702	0.266835355851463	0.346805051565009
PB.43.5	PB.43.5_ORF_1	464	+	3	147	431	285	0.702	0.266835355851463	0.348359302555707
PB.44.3	PB.44.3_ORF_1	702	+	3	3	545	543	1.1017	0.298103829969555	0.978431714511695
PB.44.2	PB.44.2_ORF_1	854	+	3	24	611	588	0.8901	0.24036606568207	0.961949751527108
PB.44.4	PB.44.4_ORF_1	694	+	3	24	566	543	1.1017	0.298103829969555	0.978440969446399
PB.45.1	PB.45.1_ORF_2	222	+	3	147	221	75	0.8096	-0.409727528534368	0.00123298214861611
PB.46.1	PB.46.1_ORF_1	277	+	2	95	277	183	0.4707	-0.484429027633632	0.000813482345309699
PB.47.1	PB.47.1_ORF_1	1551	+	2	167	439	273	0.9601	0.253847992573456	0.497697333763802
PB.48.1	PB.48.1_ORF_1	1360	+	1	139	729	591	1.0261	0.284365877336506	0.981506902275397
PB.48.3	PB.48.3_ORF_1	892	+	2	125	715	591	1.0261	0.284365877336506	0.981966968611848
PB.48.2	PB.48.2_ORF_1	3031	+	2	125	715	591	1.0261	0.284365877336506	0.979768359077318
PB.48.4	PB.48.4_ORF_2	205	+	3	6	113	108	1.1114	0.434560314377227	0.459283266603244
PB.49.1	PB.49.1_ORF_1	2824	+	1	46	1026	981	1.1521	0.444486090385619	0.999936261847604
PB.49.2	PB.49.2_ORF_1	1975	+	1	52	1032	981	1.1521	0.444486090385619	0.999939160790988
PB.51.1	PB.51.1_ORF_1	2634	+	1	10	2331	2322	1.2399	0.563163538582501	0.999999999993081
PB.52.1	PB.52.1_ORF_1	2670	+	1	70	621	552	1.1798	0.518984628319531	0.995579618018278
PB.53.1	PB.53.1_ORF_1	1404	+	1	1093	1323	231	0.6112	-0.0232675787067711	0.0337197564293335
PB.53.2	PB.53.2_ORF_1	402	+	1	91	321	231	0.6112	-0.0232675787067711	0.0355564732972209
PB.54.1	PB.54.1_ORF_1	632	+	3	360	596	237	1.0614	0.43399406427464	0.746643871747223
PB.56.1	PB.56.1_ORF_1	1649	+	1	97	828	732	0.915	0.267358347949682	0.993613362818237
PB.57.1	PB.57.1_ORF_1	2485	+	3	1701	2066	366	0.7104	0.016822601751294	0.210976388214592
PB.57.2	PB.57.2_ORF_1	1383	+	2	599	964	366	0.7104	0.016822601751294	0.22121051703575
PB.57.3	PB.57.3_ORF_2	222	+	1	133	192	60	0.7798	0.246037149048663	0.0479587238831888
PB.58.1	PB.58.1_ORF_1	1066	+	2	296	523	228	0.5274	0.0338981906485604	0.0351490646202882
PB.59.1	PB.59.1_ORF_1	190	+	3	90	188	99	1.0846	-0.0271414321996518	0.0408079659777816
PB.59.2	PB.59.2_ORF_1	299	+	1	40	297	258	1.1599	0.627593869711898	0.945233763592633
PB.60.1	PB.60.1_ORF_8	1287	+	2	398	448	51	0.9266	0.186677822424247	0.0473573601728591
PB.60.2	PB.60.2_ORF_1	2054	+	1	22	408	387	1.1258	0.311435926940063	0.896532367819686
PB.60.3	PB.60.3_ORF_9	1841	+	1	961	1011	51	0.9266	0.186677822424247	0.0460056239542606
PB.60.5	PB.60.5_ORF_1	861	+	1	22	408	387	1.1258	0.311435926940063	0.902444811187164
PB.60.6	PB.60.6_ORF_1	461	+	1	22	408	387	1.1258	0.311435926940063	0.90435873917259
PB.61.1	PB.61.1_ORF_2	890	+	1	700	765	66	0.9229	-0.000870020823491598	0.0186555662945966
PB.63.4	PB.63.4_ORF_1	315	+	3	27	314	288	0.6087	0.0339475890444268	0.0895310952540354
PB.63.3	PB.63.3_ORF_2	599	+	3	18	275	258	1.2118	0.755125698160231	0.977789199543906
PB.63.2	PB.63.2_ORF_1	928	+	2	65	604	540	1.2697	0.633499419239102	0.998313091156688
PB.63.1	PB.63.1_ORF_1	1410	+	1	70	1086	1017	1.282	0.672443432878364	0.999993681684848
PB.63.5	PB.63.5_ORF_1	1100	+	1	61	777	717	1.2673	0.652551496975754	0.999788552338418
PB.64.1	PB.64.1_ORF_1	2278	+	3	153	2219	2067	1.0316	0.398627339044742	0.999999999345338
PB.65.1	PB.65.1_ORF_2	1172	+	3	558	731	174	0.9053	0.0488917543165356	0.0738733196769552
PB.65.2	PB.65.2_ORF_2	2602	+	1	1363	1671	309	0.7211	0.0225469456206947	0.131067937365886
PB.65.3	PB.65.3_ORF_1	114	+	1	46	99	54	1.0532	-0.300685107779341	0.00438715231741076
PB.66.1	PB.66.1_ORF_1	1237	+	1	34	753	720	1.0265	0.390878601292156	0.997692755423932
PB.67.2	PB.67.2_ORF_1	1681	+	3	243	656	414	0.6213	0.00950943654155323	0.251717783340445
PB.67.1	PB.67.1_ORF_1	3204	+	2	20	1699	1680	1.1443	0.385725124625363	0.999999961655124
PB.67.3	PB.67.3_ORF_1	161	+	1	40	159	120	0.9867	0.0795195647211956	0.0684396078458838
PB.68.1	PB.68.1_ORF_3	689	+	3	114	215	102	0.9888	0.196803397860754	0.106949040851571
PB.68.3	PB.68.3_ORF_3	599	+	2	98	154	57	0.8871	0.276678244529569	0.0767970692985104
PB.68.4	PB.68.4_ORF_2	530	+	3	78	155	78	1.0133	0.000527419273317804	0.0296359915349705
PB.68.2	PB.68.2_ORF_4	871	+	3	78	155	78	1.0133	0.000527419273317804	0.0291029984291721
PB.69.1	PB.69.1_ORF_5	1015	+	3	96	149	54	1.2729	0.155792065185977	0.124912704030002
PB.69.2	PB.69.2_ORF_1	606	+	2	137	277	141	0.9688	-0.356076941709068	0.00602742801176594
PB.69.3	PB.69.3_ORF_2	326	+	3	258	326	69	0.8047	-0.374089630982375	0.00139907255488121
PB.69.4	PB.69.4_ORF_3	1801	+	3	1152	1253	102	0.8015	-0.0730740533262095	0.0113557621206278
PB.69.5	PB.69.5_ORF_1	231	+	3	99	230	132	0.4331	-0.247509802241077	0.0017035240753265
PB.70.1	PB.70.1_ORF_1	2167	+	2	80	382	303	1.1758	0.272696845074183	0.759617238025109
PB.70.2	PB.70.2_ORF_1	692	+	2	65	241	177	1.0855	-0.00920225936626734	0.0997390501632146
PB.72.1	PB.72.1_ORF_1	783	+	1	385	558	174	1.1814	0.318660585251042	0.520355065508932
PB.72.2	PB.72.2_ORF_1	810	+	3	90	584	495	1.0248	0.251620511090466	0.938464406474511
PB.72.3	PB.72.3_ORF_2	813	+	2	413	586	174	1.1814	0.318660585251042	0.519944498815563
PB.72.4	PB.72.4_ORF_1	874	+	1	79	648	570	1.0357	0.289027574144445	0.978642776025098
PB.72.5	PB.72.5_ORF_1	696	+	2	74	469	396	1.0049	0.259266264057418	0.83216984437751
PB.72.6	PB.72.6_ORF_1	894	+	3	99	668	570	1.0357	0.289027574144445	0.97861984331748
PB.72.7	PB.72.7_ORF_1	582	+	1	184	357	174	1.1814	0.318660585251042	0.52310512609948
PB.72.8	PB.72.8_ORF_1	517	+	2	119	292	174	1.1814	0.318660585251042	0.523994157566807
PB.72.9	PB.72.9_ORF_1	328	+	2	191	322	132	0.5293	-0.229211152983115	0.00263558543490319
PB.73.1	PB.73.1_ORF_1	587	+	2	167	370	204	0.6515	-0.195564450223781	0.0107795341412988
PB.73.2	PB.73.2_ORF_1	3096	+	1	226	1614	1389	0.8696	0.0466971412040489	0.999980057940439
PB.74.1	PB.74.1_ORF_1	2511	+	2	2	2350	2349	1.1292	0.456322036310534	0.99999999998577
PB.74.2	PB.74.2_ORF_1	801	+	2	20	649	630	1.2738	0.482854013508707	0.998494331730805
PB.75.1	PB.75.1_ORF_2	1166	+	3	837	1016	180	0.8621	-0.114099890823506	0.0266177281191106
PB.77.5	PB.77.5_ORF_2	718	+	3	159	362	204	1.0063	0.368930463825887	0.530491089640694
PB.77.4	PB.77.4_ORF_1	1178	+	1	10	822	813	1.1836	0.509056800315965	0.999768750372683
PB.77.3	PB.77.3_ORF_1	1261	+	3	93	905	813	1.1836	0.509056800315965	0.999767695803169
PB.77.2	PB.77.2_ORF_1	1385	+	1	4	1029	1026	1.2413	0.494514025053398	0.999980674934223
PB.77.1	PB.77.1_ORF_1	1619	+	1	130	1263	1134	1.2936	0.481757390523763	0.999994724426926
PB.77.8	PB.77.8_ORF_1	1504	+	1	16	1149	1134	1.2936	0.481757390523763	0.99999475758773
PB.77.10	PB.77.10_ORF_2	882	+	1	325	528	204	1.0063	0.368930463825887	0.528250768306764
PB.77.9	PB.77.9_ORF_1	1778	+	3	120	1424	1305	1.2866	0.457125907291716	0.999999065464611
PB.77.11	PB.77.11_ORF_1	1744	+	3	87	1391	1305	1.2866	0.457125907291716	0.999999067205207
PB.78.1	PB.78.1_ORF_1	347	+	2	89	172	84	1.1167	-0.311521778081373	0.00704278423853249
PB.79.1	PB.79.1_ORF_1	256	+	3	147	254	108	0.9273	-0.417183088312743	0.00254960828495336
PB.80.1	PB.80.1_ORF_1	2360	+	2	761	1093	333	0.6567	0.0339375557819547	0.146458911045551
PB.81.1	PB.81.1_ORF_1	1595	+	3	549	1325	777	0.7191	0.0873211667970558	0.977811376136708
PB.81.2	PB.81.2_ORF_1	527	+	1	1	258	258	0.9311	0.250945300264712	0.440665157920237
PB.81.3	PB.81.3_ORF_1	262	+	2	65	190	126	0.6416	-0.297334603632491	0.00240981238594745
PB.82.1	PB.82.1_ORF_1	2698	+	3	831	1373	543	0.6988	-0.00287835432751497	0.620100834275044
PB.83.1	PB.83.1_ORF_1	2511	+	1	10	1020	1011	1.2706	0.664519601277508	0.999992167130428
PB.83.4	PB.83.4_ORF_3	1418	+	1	10	144	135	1.2112	-0.0127291554116222	0.0912956952027807
PB.83.3	PB.83.3_ORF_1	2126	+	2	149	640	492	1.2706	0.709747504191491	0.998066065684544
PB.83.2	PB.83.2_ORF_1	2253	+	3	39	767	729	1.2706	0.68726381542097	0.999842255235798
PB.83.6	PB.83.6_ORF_2	1794	+	2	32	310	279	0.984	0.903828469653819	0.983229816974911
PB.83.5	PB.83.5_ORF_1	1924	+	3	114	440	327	1.1545	0.826822407044757	0.991177390596527
PB.83.7	PB.83.7_ORF_1	387	+	1	214	342	129	0.8736	-0.183449054765866	0.0108976369859012
PB.84.1	PB.84.1_ORF_1	1112	+	2	698	1018	321	1.0018	0.0176635395063515	0.323526965845127
PB.85.1	PB.85.1_ORF_1	414	+	3	195	281	87	0.6766	-0.274650981021183	0.00200090777556019
PB.86.1	PB.86.1_ORF_1	944	+	1	220	792	573	1.0624	0.179842230188408	0.963874932652469
PB.87.1	PB.87.1_ORF_2	2409	+	3	564	728	165	0.6917	-0.0346258915204976	0.0190715941211414
PB.87.2	PB.87.2_ORF_3	1346	+	1	679	732	54	0.8285	-0.208708703861075	0.00330611114996693
PB.88.1	PB.88.1_ORF_1	335	+	2	158	208	51	1.0198	0.10787932386643	0.0428516989399447
PB.89.1	PB.89.1_ORF_1	1900	+	1	55	1506	1452	1.155	0.361502402610371	0.99999948916441
PB.89.2	PB.89.2_ORF_1	2261	+	2	50	1501	1452	1.155	0.361502402610371	0.999999478952151
PB.89.3	PB.89.3_ORF_1	1585	+	2	161	1189	1029	1.0522	0.34927306418153	0.999912471925657
PB.89.4	PB.89.4_ORF_1	1302	+	3	9	908	900	1.0782	0.360670220227059	0.999688730453809
PB.89.5	PB.89.5_ORF_1	757	+	2	44	469	426	0.6099	-0.0447006017282558	0.218776098865725
PB.89.7	PB.89.7_ORF_2	623	+	1	34	228	195	0.8371	0.215618361600224	0.184377444000714
PB.89.6	PB.89.6_ORF_3	989	+	1	34	228	195	0.8371	0.215618361600224	0.181378627823516
PB.90.1	PB.90.1_ORF_1	551	+	3	21	488	468	0.8015	0.170671205182125	0.764188866396756
PB.91.1	PB.91.1_ORF_4	683	+	2	362	415	54	1.0653	0.135787741432363	0.059215615519245
PB.92.1	PB.92.1_ORF_1	1645	+	3	87	1082	996	1.1079	0.403296755514518	0.999924463093958
PB.93.1	PB.93.1_ORF_1	1916	+	2	14	1147	1134	1.1071	0.539003514015199	0.999992794229789
PB.93.2	PB.93.2_ORF_2	1215	+	3	243	446	204	1.2339	0.913017733983012	0.98494850760749
PB.94.1	PB.94.1_ORF_1	955	+	2	98	940	843	0.7693	0.152070351217462	0.994090040037364
PB.94.2	PB.94.2_ORF_1	2971	+	1	340	1584	1245	0.9112	0.156472521728414	0.999955856362712
PB.94.3	PB.94.3_ORF_1	2588	+	2	314	1270	957	0.7867	0.150396808619466	0.998275144130589
PB.95.1	PB.95.1_ORF_1	596	+	3	405	596	192	1.0146	0.227953195566375	0.303153487228489
PB.94.5	PB.94.5_ORF_1	2721	+	1	118	948	831	0.92	0.21212134347264	0.996914641680072
PB.94.4	PB.94.4_ORF_1	3178	+	1	118	1362	1245	0.9112	0.156472521728414	0.999955352497465
PB.94.11	PB.94.11_ORF_1	1491	+	1	115	423	309	0.9463	0.146379503960265	0.424853868120152
PB.94.6	PB.94.6_ORF_1	2604	+	1	115	1221	1107	0.8627	0.113632017274204	0.99968951562269
PB.94.7	PB.94.7_ORF_1	2592	+	1	115	1359	1245	0.9112	0.156472521728414	0.999956764208705
PB.94.12	PB.94.12_ORF_1	1371	+	1	115	975	861	0.9138	0.195982887521644	0.997690354663991
PB.94.8	PB.94.8_ORF_1	2200	+	1	115	1359	1245	0.9112	0.156472521728414	0.99995768355789
PB.94.9	PB.94.9_ORF_1	2081	+	1	115	978	864	0.9012	0.20336380840355	0.997681092133504
PB.94.10	PB.94.10_ORF_1	1849	+	1	115	714	600	0.9557	0.133265929504452	0.947148630787015
PB.94.15	PB.94.15_ORF_1	1210	+	1	109	786	678	0.9516	0.15986550382618	0.980940373229529
PB.94.13	PB.94.13_ORF_1	2220	+	1	109	837	729	1.0422	0.14744736832254	0.99092481811772
PB.94.14	PB.94.14_ORF_1	2144	+	1	109	897	789	0.9519	0.217909212803969	0.995867920505157
PB.94.26	PB.94.26_ORF_1	1314	+	1	106	414	309	0.9463	0.146379503960265	0.427227059983451
PB.94.17	PB.94.17_ORF_1	2659	+	1	106	1341	1236	0.8353	0.156676536233915	0.999937733982525
PB.94.18	PB.94.18_ORF_1	2650	+	1	106	1332	1227	0.9373	0.147550102041913	0.99994881767908
PB.94.19	PB.94.19_ORF_1	2619	+	1	106	1236	1131	0.9373	0.176330531086328	0.99987441250452
PB.94.21	PB.94.21_ORF_1	2335	+	1	106	900	795	0.9228	0.201744397187764	0.995241641329262
PB.94.23	PB.94.23_ORF_1	1917	+	1	106	534	429	0.8764	0.180906702263736	0.728072324311911
PB.94.25	PB.94.25_ORF_1	1541	+	1	106	1116	1011	0.9505	0.181344705270084	0.999580019652722
PB.94.22	PB.94.22_ORF_1	2144	+	1	106	759	654	0.8884	0.171381298716696	0.969916679283997
PB.94.24	PB.94.24_ORF_1	1689	+	3	327	884	558	0.8897	0.163540049198296	0.915371250853018
PB.94.27	PB.94.27_ORF_5	727	+	3	300	359	60	0.9311	-0.163545160351808	0.00682808734468854
PB.94.20	PB.94.20_ORF_1	2544	+	3	165	1157	993	0.7746	0.119535250863783	0.998553371854635
PB.94.16	PB.94.16_ORF_1	2717	+	2	290	1186	897	0.771	0.110164003690844	0.995432807574986
PB.94.31	PB.94.31_ORF_1	1078	+	2	104	712	609	0.9884	0.161911465776506	0.96495637324299
PB.94.30	PB.94.30_ORF_1	1702	+	2	104	913	810	0.92	0.199396991104183	0.996016930167668
PB.94.32	PB.94.32_ORF_1	693	+	2	104	355	252	1.1363	0.279152979137557	0.637340414168378
PB.94.29	PB.94.29_ORF_1	2650	+	2	104	1348	1245	0.9112	0.156472521728414	0.999956626496734
PB.94.34	PB.94.34_ORF_1	1551	+	2	287	748	462	0.7799	0.154491172656913	0.707067065000068
PB.94.33	PB.94.33_ORF_1	2123	+	1	103	1218	1116	0.9373	0.173908719324381	0.999853313342804
PB.94.35	PB.94.35_ORF_1	343	+	2	131	229	99	0.5537	-0.0829113650912972	0.00480093142479342
PB.94.45	PB.94.45_ORF_1	1504	+	3	102	1346	1245	0.9112	0.156472521728414	0.999959267971339
PB.94.38	PB.94.38_ORF_1	2120	+	3	102	1331	1230	0.9092	0.149428621192892	0.999947635176217
PB.94.41	PB.94.41_ORF_1	1944	+	3	102	1169	1068	0.8884	0.158954267600679	0.999677972154829
PB.94.43	PB.94.43_ORF_1	1843	+	3	102	1133	1032	0.9005	0.151742656648417	0.999520015080369
PB.94.44	PB.94.44_ORF_1	1614	+	3	102	911	810	0.9233	0.206646469562081	0.996248735832093
PB.94.40	PB.94.40_ORF_1	1978	+	3	102	593	492	0.7342	0.167470134220436	0.75299083316151
PB.94.42	PB.94.42_ORF_3	1841	+	3	102	266	165	0.8781	0.341233957557383	0.271746091167005
PB.94.36	PB.94.36_ORF_1	2702	+	3	102	1346	1245	0.9112	0.156472521728414	0.999956502657971
PB.94.37	PB.94.37_ORF_1	2191	+	3	102	1346	1245	0.9112	0.156472521728414	0.999957704434237
PB.94.39	PB.94.39_ORF_1	2044	+	3	102	989	888	0.9138	0.181493513779339	0.998064772009336
PB.94.46	PB.94.46_ORF_1	1179	+	2	101	841	741	0.7966	0.144657010353866	0.982378741629661
PB.94.49	PB.94.49_ORF_1	1560	+	3	99	929	831	0.8363	0.163133277898096	0.994810192096895
PB.94.48	PB.94.48_ORF_1	1792	+	3	99	1343	1245	0.9112	0.156472521728414	0.999958619676599
PB.94.50	PB.94.50_ORF_1	1355	+	3	99	497	399	0.9251	0.126269855486021	0.626298716474216
PB.94.47	PB.94.47_ORF_1	1729	+	3	99	995	897	0.9138	0.179459731926399	0.998258409986092
PB.94.170	PB.94.170_ORF_1	330	+	2	98	328	231	1.0325	0.339274565672497	0.588027497699956
PB.94.169	PB.94.169_ORF_1	669	+	2	98	667	570	0.9913	0.194631893428081	0.957309228697302
PB.94.162	PB.94.162_ORF_1	955	+	2	98	940	843	0.7693	0.152070351217462	0.994090040037364
PB.94.165	PB.94.165_ORF_1	864	+	1	259	849	591	0.6332	0.0879934037264003	0.810437051098888
PB.94.126	PB.94.126_ORF_1	1801	+	2	98	940	843	0.7693	0.152070351217462	0.9938111718674
PB.94.161	PB.94.161_ORF_1	1014	+	2	98	853	756	0.8529	0.201037024013529	0.991284861760336
PB.94.168	PB.94.168_ORF_2	731	+	2	539	601	63	0.8952	-0.187144270232139	0.00541326787056312
PB.94.166	PB.94.166_ORF_1	850	+	2	98	241	144	0.9316	0.227463788642977	0.158110694497661
PB.94.163	PB.94.163_ORF_1	906	+	2	98	904	807	0.936	0.232917199243083	0.99695242924365
PB.94.154	PB.94.154_ORF_1	1057	+	2	98	1057	960	0.8884	0.181837099207985	0.999106759517681
PB.94.120	PB.94.120_ORF_1	1920	+	2	482	1474	993	0.7746	0.119535250863783	0.998601962630633
PB.94.97	PB.94.97_ORF_1	2344	+	2	98	1342	1245	0.9112	0.156472521728414	0.999957348131568
PB.94.62	PB.94.62_ORF_1	2578	+	2	98	1342	1245	0.9112	0.156472521728414	0.999956797383968
PB.94.100	PB.94.100_ORF_1	2283	+	2	98	1195	1098	0.9164	0.171305612788897	0.99980240021436
PB.94.101	PB.94.101_ORF_1	2314	+	2	98	931	834	0.8918	0.112343553636625	0.99412518042716
